Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,1,1016,1053,454,657.3704798532389,412.4176618364481,697,413,397.80875814730933,-39.47329640223022,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,2,1166,657.3704798532389,412.4176618364481,1035.7090915285203,535.34732861516,1012,526,397.80875814730945,-25.437169387729128,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,3,1183,1035.7090915285203,535.34732861516,691.1966011250105,336.4429495415054,724,355,397.8087581473094,-37.687101985462064,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,4,952,691.1966011250105,336.4429495415054,986.8261212717716,602.6289650954789,972,584,397.8087581473093,-23.483166015193156,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,5,909,986.8261212717716,602.6289650954789,752.9999999999999,280.7949192431123,773,298,397.8087581473094,-25.674907767765063,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,6,991,752.9999999999999,280.7949192431123,914.8033988749895,644.2113032590307,904,608,397.8087581473094,-37.47480979982836,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,7,982,914.8033988749895,644.2113032590307,832.0943073464693,255.09562092634533,844,262,397.8087581473094,-9.228834515404133,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,8,1018,832.0943073464693,255.09562092634533,832.0943073464692,652.9043790736547,838,631,397.8087581473094,-21.904379073654674,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,9,1065.0000000018626,832.0943073464692,652.9043790736547,914.8033988749894,263.78869674096927,907,282,397.8087581473094,-19.43576044328107,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,10,1382.9999999981374,914.8033988749894,263.78869674096927,753,627.2050807568878,766,596,397.8087581473094,-33.79483614081078,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,11,1000,753,627.2050807568878,986.8261212717716,305.3710349045211,973,331,397.80875814730945,-28.86105849043939,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,12,851,986.8261212717716,305.3710349045211,691.1966011250106,571.5570504584946,709,547,397.8087581473093,-29.662377813535937,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,13,899,691.1966011250106,571.5570504584946,1035.7090915285203,372.65267138484,1029,382,397.8087581473093,-10.48390800759351,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,14,950,1035.7090915285203,372.65267138484,657.3704798532389,495.58233816355187,675,479,397.8087581473094,-21.8908943137436,0
P4,S0,dom_touchpad,Dominant,Mouse,Intermediate,400,50,15,0,15,1067,657.3704798532389,495.58233816355187,1053,454,1038,458,397.80875814730933,-15.335942283594726,0
