Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,1434,808,345.5,412.37047985323886,303.9176618364481,436,302.5621387283237,397.80875814730933,-23.3583844155837,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,1041,412.37047985323886,303.9176618364481,790.7090915285202,426.84732861516005,768,412.4031791907514,397.80875814730933,-26.061117118775595,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,1324,790.7090915285202,426.84732861516005,446.1966011250105,227.9429495415054,472,227.67052023121386,397.80875814730933,-22.210184274577966,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1232,446.1966011250105,227.9429495415054,741.8261212717716,494.12896509547886,729,466.3251445086705,397.8087581473093,-28.136052982406547,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1196,741.8261212717716,494.12896509547886,507.9999999999999,172.29491924311233,535,195.71676300578034,397.8087581473094,-34.81887145549009,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,1107,507.9999999999999,172.29491924311233,669.8033988749895,535.7113032590307,660,536.2239884393064,397.8087581473094,-3.519040331504808,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,1285,669.8033988749895,535.7113032590307,587.0943073464693,146.59562092634533,576,163.76300578034682,397.8087581473094,-14.485600106959126,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,1387,587.0943073464693,146.59562092634533,587.0943073464692,544.4043790736547,599,519.2485549132948,397.8087581473094,-25.155824160359852,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1123,587.0943073464692,544.4043790736547,669.8033988749894,155.28869674096927,668,181.73699421965318,397.8087581473094,-26.245286431586464,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,1162,669.8033988749894,155.28869674096927,508,518.7050807568878,501,488.2933526011561,397.8087581473094,-24.93533961419969,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1042.0000000000036,508,518.7050807568878,741.8261212717716,196.87103490452108,720,211.6936416184971,397.80875814730945,-24.82081293083719,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,1225.9999999999964,741.8261212717716,196.87103490452108,446.19660112501055,463.05705045849464,474,451.3468208092485,397.8087581473094,-28.49762507043396,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1148,446.19660112501055,463.05705045849464,790.7090915285202,264.15267138484,768,278.5968208092485,397.8087581473093,-26.88872487276875,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,1154,790.7090915285202,264.15267138484,412.37047985323886,387.08233816355187,420,380.4494219653179,397.8087581473093,-9.305788679301456,0
P4,S1,C0,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,1308,412.37047985323886,387.08233816355187,808,345.5,779,347.49710982658956,397.80875814730933,-29.049889786830107,0
