Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,1,720,1053,454,657.3704798532389,412.4176618364481,686,415,397.80875814730933,-28.742612479714587,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,2,780,657.3704798532389,412.4176618364481,1035.7090915285203,535.34732861516,1011,520,397.80875814730945,-28.242327870273943,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,3,886,1035.7090915285203,535.34732861516,691.1966011250105,336.4429495415054,706,356,397.8087581473094,-22.598644717342157,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,4,865,691.1966011250105,336.4429495415054,986.8261212717716,602.6289650954789,960,590,397.8087581473093,-28.386120282768758,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,5,899,986.8261212717716,602.6289650954789,752.9999999999999,280.7949192431123,757,291,397.8087581473094,-10.60722477046087,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,6,1050,752.9999999999999,280.7949192431123,914.8033988749895,644.2113032590307,900,620,397.8087581473094,-28.13921088042033,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,7,1284,914.8033988749895,644.2113032590307,832.0943073464693,255.09562092634533,831,272,397.8087581473094,-16.307458542111334,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,8,1917,832.0943073464693,255.09562092634533,832.0943073464692,652.9043790736547,842,632,397.8087581473094,-20.904379073654713,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,9,983.0000000000073,832.0943073464692,652.9043790736547,914.8033988749894,263.78869674096927,898,251,397.8087581473094,9.015609962107089,1
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,10,1449.9999999999927,914.8033988749894,263.78869674096927,753,627.2050807568878,764,610,397.8087581473094,-20.19172644766278,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,11,833,753,627.2050807568878,986.8261212717716,305.3710349045211,981,327,397.80875814730945,-20.92270849459985,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,12,766,986.8261212717716,305.3710349045211,691.1966011250106,571.5570504584946,700,552,397.8087581473093,-19.628421352445198,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,13,768.0000000000073,691.1966011250106,571.5570504584946,1035.7090915285203,372.65267138484,1015,388,397.8087581473093,-25.608263660575656,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,14,800.9999999999927,1035.7090915285203,372.65267138484,657.3704798532389,495.58233816355187,682,475,397.8087581473094,-29.784357905309466,0
P4,S2,dom,Dominant,Mouse,Intermediate,400,50,15,0,15,964,657.3704798532389,495.58233816355187,1053,454,1022,460,397.80875814730933,-31.457349536022388,0
