Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,1,1333,1053,454,657.3704798532389,412.4176618364481,673,414,397.80875814730933,-15.709299376659313,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,2,1233,657.3704798532389,412.4176618364481,1035.7090915285203,535.34732861516,955,526,397.80875814730945,-79.64739081655286,1
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,3,1750,1035.7090915285203,535.34732861516,691.1966011250105,336.4429495415054,711,331,397.8087581473094,-14.42877173626433,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,4,4416,691.1966011250105,336.4429495415054,986.8261212717716,602.6289650954789,958,593,397.8087581473093,-27.865018114646936,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,5,1566,986.8261212717716,602.6289650954789,752.9999999999999,280.7949192431123,763,294,397.8087581473094,-16.56098726734051,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,6,1768,752.9999999999999,280.7949192431123,914.8033988749895,644.2113032590307,905,633,397.8087581473094,-14.229436715687546,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,7,1684,914.8033988749895,644.2113032590307,832.0943073464693,255.09562092634533,846,278,397.8087581473094,-25.295019508780594,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,8,1148,832.0943073464693,255.09562092634533,832.0943073464692,652.9043790736547,838,616,397.8087581473094,-36.9043790736547,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,9,1418,832.0943073464692,652.9043790736547,914.8033988749894,263.78869674096927,912,274,397.8087581473094,-10.571021183321834,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,10,1301,914.8033988749894,263.78869674096927,753,627.2050807568878,766,619,397.8087581473094,-12.783290615030982,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,11,1281,753,627.2050807568878,986.8261212717716,305.3710349045211,967,326,397.80875814730945,-28.342685032319512,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,12,1467,986.8261212717716,305.3710349045211,691.1966011250106,571.5570504584946,706,569,397.8087581473093,-12.712069997208925,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,13,1503,691.1966011250106,571.5570504584946,1035.7090915285203,372.65267138484,1007,397,397.8087581473093,-37.03646689085112,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,14,1148,1035.7090915285203,372.65267138484,657.3704798532389,495.58233816355187,664,489,397.8087581473094,-8.339102690747424,0
P4,S2,nondom,Non-Dominant,Mouse,Intermediate,400,50,15,0,15,1335.0000000000073,657.3704798532389,495.58233816355187,1053,454,1034,441,397.80875814730933,-17.537045989517708,0
