Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,1,748.0000000000018,808,345.5,412.37047985323886,303.9176618364481,432,315.5433526011561,397.80875814730933,-20.737203171586454,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,2,830.9999999999982,412.37047985323886,303.9176618364481,790.7090915285202,426.84732861516005,782,434.37138728323697,397.80875814730933,-5.95777625410013,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,3,807,790.7090915285202,426.84732861516005,446.1966011250105,227.9429495415054,462,237.65606936416185,397.80875814730933,-18.542704803207567,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,4,1043,446.1966011250105,227.9429495415054,741.8261212717716,494.12896509547886,726,475.3121387283237,397.8087581473093,-24.352014567298585,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,5,896,741.8261212717716,494.12896509547886,507.9999999999999,172.29491924311233,520,179.73988439306356,397.8087581473094,-13.07652635634955,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,6,1016,507.9999999999999,172.29491924311233,669.8033988749895,535.7113032590307,665,523.2427745664739,397.8087581473094,-13.344286084339018,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,7,864,669.8033988749895,535.7113032590307,587.0943073464693,146.59562092634533,583,165.7601156069364,397.8087581473094,-17.894450127963996,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,8,848,587.0943073464693,146.59562092634533,587.0943073464692,544.4043790736547,594,534.2268786127167,397.8087581473094,-10.17750046093793,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,9,751,587.0943073464692,544.4043790736547,669.8033988749894,155.28869674096927,668,160.7673410404624,397.8087581473094,-5.733870486141057,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,10,680,669.8033988749894,155.28869674096927,508,518.7050807568878,524,498.278901734104,397.8087581473094,-25.168029352471514,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,11,767,508,518.7050807568878,741.8261212717716,196.87103490452108,726,205.7023121387283,397.80875814730945,-16.447014049049812,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,12,713,741.8261212717716,196.87103490452108,446.19660112501055,463.05705045849464,461,459.3352601156069,397.8087581473094,-13.491433102303304,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,13,734.0000000000036,446.19660112501055,463.05705045849464,790.7090915285202,264.15267138484,774,273.60404624277453,397.8087581473093,-19.196185166825046,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,14,715,790.7090915285202,264.15267138484,412.37047985323886,387.08233816355187,439,381.4479768786127,397.8087581473093,-27.06729205088469,0
P4,S2,dom,Dominant,Touchpad,Intermediate,400,50,15,0,15,758.9999999999964,412.37047985323886,387.08233816355187,808,345.5,791,354.4869942196532,397.80875814730933,-17.846268916436234,0
