Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,1186,808,345.5,412.37047985323886,303.9176618364481,417,310.5505780346821,397.80875814730933,-5.297487688187047,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,961,412.37047985323886,303.9176618364481,790.7090915285202,426.84732861516005,756,408.40895953757223,397.80875814730933,-38.70807706641616,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,1243,790.7090915285202,426.84732861516005,446.1966011250105,227.9429495415054,452,222.6777456647399,397.80875814730933,-2.393288915652183,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1309,446.1966011250105,227.9429495415054,741.8261212717716,494.12896509547886,739,477.30924855491327,397.8087581473093,-13.354804526861367,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1033,741.8261212717716,494.12896509547886,507.9999999999999,172.29491924311233,516,192.72109826589593,397.8087581473094,-21.22740797791689,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,1082,507.9999999999999,172.29491924311233,669.8033988749895,535.7113032590307,675,522.2442196531791,397.8087581473094,-10.189144958828171,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,1099,669.8033988749895,535.7113032590307,587.0943073464693,146.59562092634533,601,166.75867052023122,397.8087581473094,-22.613594655323936,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,1356,587.0943073464693,146.59562092634533,587.0943073464692,544.4043790736547,595,515.2543352601156,397.8087581473094,-29.15004381353908,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1073,587.0943073464692,544.4043790736547,669.8033988749894,155.28869674096927,668,177.74277456647397,397.8087581473094,-22.3383500610254,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,1008,669.8033988749894,155.28869674096927,508,518.7050807568878,536,508.264450867052,397.8087581473094,-20.926616016909474,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1139.0000000000073,508,518.7050807568878,741.8261212717716,196.87103490452108,761,235.65895953757223,397.80875814730945,-20.109967058976046,1
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,1631.9999999999927,741.8261212717716,196.87103490452108,446.19660112501055,463.05705045849464,443,446.35404624277453,397.8087581473094,-8.80095375371257,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1218,446.19660112501055,463.05705045849464,790.7090915285202,264.15267138484,772,264.6170520231214,397.8087581473093,-16.43473886456736,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,1326,790.7090915285202,264.15267138484,412.37047985323886,387.08233816355187,435,375.4566473988439,397.8087581473093,-25.114488613852252,0
P4,S2,nondom,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,886,412.37047985323886,387.08233816355187,808,345.5,774,344.5014450867052,397.80875814730933,-33.709367031946186,0
