Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,1,867.5,968,365,572.3704798532389,323.4176618364481,605,318.80000001192093,397.80875814730933,-31.968095126906633,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,2,915.8999999761581,572.3704798532389,323.4176618364481,950.7090915285202,446.34732861516005,911,422.80000001192093,397.80875814730933,-45.04211496489194,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,3,664.3000000119209,950.7090915285202,446.34732861516005,606.1966011250105,247.4429495415054,625,265.80000001192093,397.80875814730933,-25.462746338440475,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,4,883.3999999761581,606.1966011250105,247.4429495415054,901.8261212717716,513.6289650954789,874,474.80000001192093,397.8087581473093,-46.66048698687153,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,5,636.4000000357628,901.8261212717716,513.6289650954789,667.9999999999999,191.79491924311233,688,229.80000001192093,397.8087581473094,-42.502461260408175,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,6,856.1999999880791,667.9999999999999,191.79491924311233,829.8033988749895,555.2113032590307,815,513.8000000119209,397.8087581473094,-43.85219274098277,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,7,772.1999999880791,829.8033988749895,555.2113032590307,747.0943073464693,166.09562092634533,746,215.80000001192093,397.8087581473094,-48.390699857840595,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,8,709.5,747.0943073464693,166.09562092634533,747.0943073464692,563.9043790736547,750,533.8000000119209,397.8087581473094,-30.10437906173375,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,9,693.3000000119209,747.0943073464692,563.9043790736547,829.8033988749894,174.78869674096927,816,211.80000001192093,397.8087581473094,-39.0724054936436,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,10,903,829.8033988749894,174.78869674096927,668,538.2050807568878,688,499.80000001192093,397.8087581473094,-43.219519926477766,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,11,820,668,538.2050807568878,901.8261212717716,216.37103490452108,888,244.80000001192093,397.80875814730945,-31.126306084333514,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,12,848.8999999761581,901.8261212717716,216.37103490452108,606.1966011250106,482.55705045849464,644,456.80000001192093,397.8087581473093,-45.328231042737826,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,13,871,606.1966011250106,482.55705045849464,950.7090915285202,283.65267138484,927,300.80000001192093,397.8087581473092,-29.106339877889344,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,14,772.4000000357628,950.7090915285202,283.65267138484,572.3704798532389,406.58233816355187,607,392.80000001192093,397.8087581473093,-37.19360750282763,0
Kishore,S1,C0,Dominant,Mouse,Intermediate,400,50,15,0,15,744.5999999642372,572.3704798532389,406.58233816355187,968,365,933,369.80000001192093,397.80875814730933,-35.31000296282039,0
