Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,1,1422,968,365,572.3704798532389,323.4176618364481,600,326,397.80875814730933,-27.748090584346283,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,2,1293.6000000238419,572.3704798532389,323.4176618364481,950.7090915285202,446.34732861516005,908,421,397.80875814730933,-48.45151510733611,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,3,1036.6000000238419,950.7090915285202,446.34732861516005,606.1966011250105,247.4429495415054,633,256,397.80875814730933,-27.490949562755464,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,4,1421.2999999523163,606.1966011250105,247.4429495415054,901.8261212717716,513.6289650954789,876,472,397.8087581473093,-47.047763041698204,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,5,1591.1000000238419,901.8261212717716,513.6289650954789,667.9999999999999,191.79491924311233,691,218,397.8087581473094,-34.71941647401697,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,6,1636.6000000238419,667.9999999999999,191.79491924311233,829.8033988749895,555.2113032590307,806,518,397.8087581473094,-43.67593161745638,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,7,1580.0999999642372,829.8033988749895,555.2113032590307,747.0943073464693,166.09562092634533,741,204,397.8087581473094,-35.8089997034325,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,8,1732.4000000357628,747.0943073464693,166.09562092634533,747.0943073464692,563.9043790736547,748,528,397.8087581473094,-35.90437907365469,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,9,1420.7999999523163,747.0943073464692,563.9043790736547,829.8033988749894,174.78869674096927,808,217,397.8087581473094,-45.822066532341054,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,10,1512.5,829.8033988749894,174.78869674096927,668,538.2050807568878,683,496,397.8087581473094,-44.657309461030984,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,11,1509.6000000238419,668,538.2050807568878,901.8261212717716,216.37103490452108,869,241,397.80875814730945,-39.21996128962143,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,12,1845.199999988079,901.8261212717716,216.37103490452108,606.1966011250106,482.55705045849464,631,451,397.8087581473093,-39.54830583638974,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,13,1617.800000011921,606.1966011250106,482.55705045849464,950.7090915285202,283.65267138484,924,302,397.8087581473092,-32.304416083282185,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,14,1823.800000011921,950.7090915285202,283.65267138484,572.3704798532389,406.58233816355187,595,393,397.8087581473093,-25.71912591209452,0
Kishore,S1,C2,Non-Dominant,Touchpad,Intermediate,400,50,15,0,15,1825.699999988079,572.3704798532389,406.58233816355187,968,365,929,361,397.80875814730933,-38.36824006629205,0
