Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,1,927.8999999761581,968,365,572.3704798532389,323.4176618364481,602,317,397.80875814730933,-28.796378205673943,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,2,760,572.3704798532389,323.4176618364481,950.7090915285202,446.34732861516005,911,430,397.80875814730933,-42.817192609076116,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,3,668.3000000119209,950.7090915285202,446.34732861516005,606.1966011250105,247.4429495415054,640,269,397.80875814730933,-40.05312738924652,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,4,868.3999999761581,606.1966011250105,247.4429495415054,901.8261212717716,513.6289650954789,877,489,397.8087581473093,-34.929397908120215,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,5,831.7000000476837,901.8261212717716,513.6289650954789,667.9999999999999,191.79491924311233,679,223,397.8087581473094,-31.711078418382037,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,6,800.7999999523163,667.9999999999999,191.79491924311233,829.8033988749895,555.2113032590307,804,523,397.8087581473094,-39.92167761539494,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,7,722,829.8033988749895,555.2113032590307,747.0943073464693,166.09562092634533,748,201,397.8087581473094,-34.32993873695537,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,8,879.7000000476837,747.0943073464693,166.09562092634533,747.0943073464692,563.9043790736547,748,514,397.8087581473094,-49.904379073654646,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,9,623.7999999523163,747.0943073464692,563.9043790736547,829.8033988749894,174.78869674096927,820,225,397.8087581473094,-51.15230704839839,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,10,699.9000000357628,829.8033988749894,174.78869674096927,668,538.2050807568878,679,509,397.8087581473094,-31.154271939374,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,11,776,668,538.2050807568878,901.8261212717716,216.37103490452108,876,244,397.80875814730945,-37.53251550669898,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,12,912.6999999880791,901.8261212717716,216.37103490452108,606.1966011250106,482.55705045849464,646,448,397.8087581473093,-52.702870037627214,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,13,775.6999999880791,606.1966011250106,482.55705045849464,950.7090915285202,283.65267138484,920,299,397.8087581473092,-34.26851769842001,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,14,775.8000000119209,950.7090915285202,283.65267138484,572.3704798532389,406.58233816355187,600,388,397.8087581473093,-32.019493465445066,0
P0,S2,C0,Dominant,Mouse,Intermediate,400,50,15,0,15,792.6999999880791,572.3704798532389,406.58233816355187,968,365,932,368,397.80875814730933,-36.116373623060795,0
