Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,1,1715.2000000476837,968,347.5,572.3704798532389,305.9176618364481,604,321,397.80875814730933,-33.03278395666503,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,2,1304.2000000476837,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,908,402,397.80875814730933,-48.91504059889853,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,3,1569.2999999523163,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,649,258,397.80875814730933,-51.09735602330648,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,4,1648.9000000953674,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,861,439,397.8087581473093,-68.56645982242138,1
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,5,1278.2999999523163,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,688,203,397.8087581473094,-34.97860320307693,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,6,1478.5999999046326,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,831,490,397.8087581473094,-43.09974284580865,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,7,1197.1000001430511,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,756,212,397.8087581473094,-63.87043888441093,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,8,1333,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,742,484,397.8087581473094,-62.40437907365467,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,9,1481.7999999523163,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,824,202,397.8087581473094,-44.940848481091436,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,10,1330.4000000953674,829.8033988749894,157.28869674096927,668,520.7050807568878,696,478,397.8087581473094,-50.401658549837705,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,11,1278.7999999523163,668,520.7050807568878,901.8261212717716,198.87103490452108,876,231,397.80875814730945,-41.17309198138622,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,12,1312.8999998569489,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,650,429,397.8087581473093,-56.6791452490751,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,13,1421,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,898,290,397.8087581473092,-57.571076581677595,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,14,1633.6000001430511,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,606,373,397.8087581473093,-36.95329007727861,0
varun,S1,C1,Non-Dominant,Mouse,Intermediate,400,50,15,0,15,1710.7999999523163,572.3704798532389,389.08233816355187,968,347.5,902,339,397.80875814730933,-64.749953156531,0
