Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,1,1032.6999998092651,968,347.5,572.3704798532389,305.9176618364481,632,312,397.80875814730933,-59.93864085756781,0
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,2,1021.1000001430511,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,886,406,397.80875814730933,-68.60221597989208,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,3,1016.3999998569489,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,628,255,397.80875814730933,-31.410822543833277,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,4,1288.7000000476837,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,870,449,397.8087581473093,-55.186850329536306,0
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,5,1565.5,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,805,489,397.8087581473094,-335.1283381125312,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,6,416.2999999523163,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,805,489,397.8087581473094,-54.58844102342207,0
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,7,1273.6000001430511,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,742,492,397.8087581473094,-334.8410034184279,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,8,995.5999999046326,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,807,221,397.8087581473094,-325.4043790736547,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,9,900.5,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,699,467,397.8087581473094,-330.13892402776986,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,10,710.7999999523163,829.8033988749894,157.28869674096927,668,520.7050807568878,866,233,397.8087581473094,-343.36552499516097,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,11,750.9000000953674,668,520.7050807568878,901.8261212717716,198.87103490452108,630,414,397.80875814730945,-333.8183740159499,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,12,1017.5999999046326,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,896,302,397.8087581473093,-324.4723593240891,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,13,1001.4000000953674,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,634,367,397.8087581473092,-324.7017831807694,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,14,787.7000000476837,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,942,350,397.8087581473093,-363.615670423074,1
varun,S2,C2,Dominant,Touchpad,Intermediate,400,50,15,0,15,738.2000000476837,572.3704798532389,389.08233816355187,968,347.5,920,341,397.80875814730933,-47.05761596643736,0
