Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,1,1111.3000001907349,968,347.5,572.3704798532389,305.9176618364481,628,323,397.80875814730933,-57.110366372038875,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,2,1068.8999998569489,572.3704798532389,305.9176618364481,950.7090915285202,428.84732861516005,901,414,397.80875814730933,-51.86423228046522,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,3,1179.7000000476837,950.7090915285202,428.84732861516005,606.1966011250105,229.9429495415054,653,262,397.80875814730933,-56.561457638444246,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,4,1184.2999999523163,606.1966011250105,229.9429495415054,901.8261212717716,496.12896509547886,861,448,397.8087581473093,-62.54428436519173,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,5,1139.2000000476837,901.8261212717716,496.12896509547886,667.9999999999999,174.29491924311233,694,222,397.8087581473094,-53.876637609955765,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,6,1512.9000000953674,667.9999999999999,174.29491924311233,829.8033988749895,537.7113032590307,812,498,397.8087581473094,-43.51937540310804,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,7,1167.5999999046326,829.8033988749895,537.7113032590307,747.0943073464693,148.59562092634533,766,188,397.8087581473094,-42.47401337497713,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,8,1186.7999999523163,747.0943073464693,148.59562092634533,747.0943073464692,546.4043790736547,751,479,397.8087581473094,-67.40437907365471,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,9,1166.5,747.0943073464692,546.4043790736547,829.8033988749894,157.28869674096927,827,208,397.8087581473094,-50.185999013041,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,10,1294.1000001430511,829.8033988749894,157.28869674096927,668,520.7050807568878,687,476,397.8087581473094,-48.56811967744068,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,11,1183.5,668,520.7050807568878,901.8261212717716,198.87103490452108,879,231,397.80875814730945,-39.4097362245088,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,12,1231.2999999523163,901.8261212717716,198.87103490452108,606.1966011250106,465.05705045849464,648,435,397.8087581473093,-51.17807195996719,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,13,1237.3999998569489,606.1966011250106,465.05705045849464,950.7090915285202,266.15267138484,915,282,397.8087581473092,-38.848644717342154,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,14,999.6000001430511,950.7090915285202,266.15267138484,572.3704798532389,389.08233816355187,623,387,397.8087581473093,-48.795012933046955,0
shama,S1,C0,Dominant,Touchpad,Intermediate,400,50,15,0,15,1121.3999998569489,572.3704798532389,389.08233816355187,968,347.5,923,335,397.80875814730933,-43.44687950072661,0
